tweet_id,airline_sentiment
Test_tweet_1,neutral
Test_tweet_2,neutral
Test_tweet_3,positive
Test_tweet_4,negative
Test_tweet_5,negative
Test_tweet_6,neutral
Test_tweet_7,neutral
Test_tweet_8,neutral
Test_tweet_9,negative
Test_tweet_10,negative
Test_tweet_11,negative
Test_tweet_12,positive
Test_tweet_13,negative
Test_tweet_14,neutral
Test_tweet_15,neutral
Test_tweet_16,neutral
Test_tweet_17,negative
Test_tweet_18,negative
Test_tweet_19,positive
Test_tweet_20,neutral
Test_tweet_21,positive
Test_tweet_22,positive
Test_tweet_23,neutral
Test_tweet_24,neutral
Test_tweet_25,neutral
Test_tweet_26,negative
Test_tweet_27,neutral
Test_tweet_28,neutral
Test_tweet_29,negative
Test_tweet_30,negative
Test_tweet_31,negative
Test_tweet_32,neutral
Test_tweet_33,negative
Test_tweet_34,positive
Test_tweet_35,neutral
Test_tweet_36,negative
Test_tweet_37,negative
Test_tweet_38,positive
Test_tweet_39,neutral
Test_tweet_40,neutral
Test_tweet_41,positive
Test_tweet_42,neutral
Test_tweet_43,negative
Test_tweet_44,negative
Test_tweet_45,positive
Test_tweet_46,positive
Test_tweet_47,positive
Test_tweet_48,neutral
Test_tweet_49,neutral
Test_tweet_50,neutral
Test_tweet_51,negative
Test_tweet_52,neutral
Test_tweet_53,negative
Test_tweet_54,negative
Test_tweet_55,positive
Test_tweet_56,negative
Test_tweet_57,negative
Test_tweet_58,negative
Test_tweet_59,negative
Test_tweet_60,negative
Test_tweet_61,neutral
Test_tweet_62,negative
Test_tweet_63,negative
Test_tweet_64,negative
Test_tweet_65,negative
Test_tweet_66,negative
Test_tweet_67,negative
Test_tweet_68,neutral
Test_tweet_69,neutral
Test_tweet_70,negative
Test_tweet_71,negative
Test_tweet_72,neutral
Test_tweet_73,neutral
Test_tweet_74,negative
Test_tweet_75,negative
Test_tweet_76,neutral
Test_tweet_77,negative
Test_tweet_78,positive
Test_tweet_79,negative
Test_tweet_80,negative
Test_tweet_81,negative
Test_tweet_82,neutral
Test_tweet_83,negative
Test_tweet_84,negative
Test_tweet_85,negative
Test_tweet_86,negative
Test_tweet_87,negative
Test_tweet_88,negative
Test_tweet_89,negative
Test_tweet_90,negative
Test_tweet_91,negative
Test_tweet_92,negative
Test_tweet_93,neutral
Test_tweet_94,negative
Test_tweet_95,neutral
Test_tweet_96,negative
Test_tweet_97,negative
Test_tweet_98,negative
Test_tweet_99,negative
Test_tweet_100,negative
Test_tweet_101,negative
Test_tweet_102,neutral
Test_tweet_103,positive
Test_tweet_104,negative
Test_tweet_105,positive
Test_tweet_106,negative
Test_tweet_107,negative
Test_tweet_108,negative
Test_tweet_109,negative
Test_tweet_110,negative
Test_tweet_111,positive
Test_tweet_112,negative
Test_tweet_113,neutral
Test_tweet_114,negative
Test_tweet_115,negative
Test_tweet_116,negative
Test_tweet_117,negative
Test_tweet_118,neutral
Test_tweet_119,negative
Test_tweet_120,negative
Test_tweet_121,negative
Test_tweet_122,positive
Test_tweet_123,negative
Test_tweet_124,negative
Test_tweet_125,negative
Test_tweet_126,positive
Test_tweet_127,negative
Test_tweet_128,negative
Test_tweet_129,negative
Test_tweet_130,negative
Test_tweet_131,negative
Test_tweet_132,negative
Test_tweet_133,negative
Test_tweet_134,negative
Test_tweet_135,negative
Test_tweet_136,negative
Test_tweet_137,negative
Test_tweet_138,negative
Test_tweet_139,negative
Test_tweet_140,negative
Test_tweet_141,negative
Test_tweet_142,negative
Test_tweet_143,neutral
Test_tweet_144,negative
Test_tweet_145,negative
Test_tweet_146,negative
Test_tweet_147,negative
Test_tweet_148,negative
Test_tweet_149,negative
Test_tweet_150,neutral
Test_tweet_151,positive
Test_tweet_152,negative
Test_tweet_153,negative
Test_tweet_154,positive
Test_tweet_155,negative
Test_tweet_156,neutral
Test_tweet_157,negative
Test_tweet_158,negative
Test_tweet_159,negative
Test_tweet_160,negative
Test_tweet_161,negative
Test_tweet_162,negative
Test_tweet_163,negative
Test_tweet_164,negative
Test_tweet_165,negative
Test_tweet_166,negative
Test_tweet_167,negative
Test_tweet_168,negative
Test_tweet_169,neutral
Test_tweet_170,negative
Test_tweet_171,negative
Test_tweet_172,negative
Test_tweet_173,negative
Test_tweet_174,negative
Test_tweet_175,negative
Test_tweet_176,negative
Test_tweet_177,negative
Test_tweet_178,negative
Test_tweet_179,positive
Test_tweet_180,negative
Test_tweet_181,neutral
Test_tweet_182,negative
Test_tweet_183,neutral
Test_tweet_184,negative
Test_tweet_185,negative
Test_tweet_186,neutral
Test_tweet_187,negative
Test_tweet_188,positive
Test_tweet_189,positive
Test_tweet_190,negative
Test_tweet_191,neutral
Test_tweet_192,neutral
Test_tweet_193,negative
Test_tweet_194,negative
Test_tweet_195,positive
Test_tweet_196,negative
Test_tweet_197,negative
Test_tweet_198,negative
Test_tweet_199,neutral
Test_tweet_200,negative
Test_tweet_201,neutral
Test_tweet_202,negative
Test_tweet_203,neutral
Test_tweet_204,negative
Test_tweet_205,neutral
Test_tweet_206,negative
Test_tweet_207,positive
Test_tweet_208,neutral
Test_tweet_209,negative
Test_tweet_210,negative
Test_tweet_211,negative
Test_tweet_212,negative
Test_tweet_213,negative
Test_tweet_214,negative
Test_tweet_215,negative
Test_tweet_216,negative
Test_tweet_217,negative
Test_tweet_218,negative
Test_tweet_219,neutral
Test_tweet_220,negative
Test_tweet_221,negative
Test_tweet_222,negative
Test_tweet_223,negative
Test_tweet_224,positive
Test_tweet_225,negative
Test_tweet_226,positive
Test_tweet_227,negative
Test_tweet_228,negative
Test_tweet_229,negative
Test_tweet_230,negative
Test_tweet_231,negative
Test_tweet_232,negative
Test_tweet_233,negative
Test_tweet_234,negative
Test_tweet_235,negative
Test_tweet_236,negative
Test_tweet_237,negative
Test_tweet_238,positive
Test_tweet_239,negative
Test_tweet_240,negative
Test_tweet_241,negative
Test_tweet_242,negative
Test_tweet_243,negative
Test_tweet_244,negative
Test_tweet_245,neutral
Test_tweet_246,negative
Test_tweet_247,negative
Test_tweet_248,negative
Test_tweet_249,negative
Test_tweet_250,negative
Test_tweet_251,negative
Test_tweet_252,negative
Test_tweet_253,negative
Test_tweet_254,negative
Test_tweet_255,positive
Test_tweet_256,positive
Test_tweet_257,negative
Test_tweet_258,negative
Test_tweet_259,negative
Test_tweet_260,negative
Test_tweet_261,negative
Test_tweet_262,negative
Test_tweet_263,neutral
Test_tweet_264,neutral
Test_tweet_265,negative
Test_tweet_266,negative
Test_tweet_267,neutral
Test_tweet_268,negative
Test_tweet_269,negative
Test_tweet_270,negative
Test_tweet_271,positive
Test_tweet_272,positive
Test_tweet_273,neutral
Test_tweet_274,negative
Test_tweet_275,neutral
Test_tweet_276,negative
Test_tweet_277,neutral
Test_tweet_278,negative
Test_tweet_279,positive
Test_tweet_280,negative
Test_tweet_281,negative
Test_tweet_282,positive
Test_tweet_283,neutral
Test_tweet_284,negative
Test_tweet_285,negative
Test_tweet_286,negative
Test_tweet_287,positive
Test_tweet_288,negative
Test_tweet_289,neutral
Test_tweet_290,negative
Test_tweet_291,neutral
Test_tweet_292,positive
Test_tweet_293,negative
Test_tweet_294,neutral
Test_tweet_295,neutral
Test_tweet_296,negative
Test_tweet_297,negative
Test_tweet_298,positive
Test_tweet_299,positive
Test_tweet_300,negative
Test_tweet_301,positive
Test_tweet_302,negative
Test_tweet_303,negative
Test_tweet_304,negative
Test_tweet_305,negative
Test_tweet_306,negative
Test_tweet_307,neutral
Test_tweet_308,negative
Test_tweet_309,negative
Test_tweet_310,negative
Test_tweet_311,neutral
Test_tweet_312,negative
Test_tweet_313,negative
Test_tweet_314,neutral
Test_tweet_315,negative
Test_tweet_316,negative
Test_tweet_317,negative
Test_tweet_318,negative
Test_tweet_319,negative
Test_tweet_320,positive
Test_tweet_321,neutral
Test_tweet_322,negative
Test_tweet_323,negative
Test_tweet_324,negative
Test_tweet_325,neutral
Test_tweet_326,positive
Test_tweet_327,negative
Test_tweet_328,negative
Test_tweet_329,neutral
Test_tweet_330,negative
Test_tweet_331,negative
Test_tweet_332,neutral
Test_tweet_333,negative
Test_tweet_334,negative
Test_tweet_335,neutral
Test_tweet_336,negative
Test_tweet_337,positive
Test_tweet_338,positive
Test_tweet_339,negative
Test_tweet_340,negative
Test_tweet_341,neutral
Test_tweet_342,negative
Test_tweet_343,negative
Test_tweet_344,negative
Test_tweet_345,negative
Test_tweet_346,negative
Test_tweet_347,negative
Test_tweet_348,negative
Test_tweet_349,positive
Test_tweet_350,negative
Test_tweet_351,positive
Test_tweet_352,negative
Test_tweet_353,negative
Test_tweet_354,negative
Test_tweet_355,neutral
Test_tweet_356,positive
Test_tweet_357,neutral
Test_tweet_358,positive
Test_tweet_359,neutral
Test_tweet_360,neutral
Test_tweet_361,positive
Test_tweet_362,neutral
Test_tweet_363,negative
Test_tweet_364,negative
Test_tweet_365,negative
Test_tweet_366,negative
Test_tweet_367,negative
Test_tweet_368,neutral
Test_tweet_369,neutral
Test_tweet_370,neutral
Test_tweet_371,positive
